TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
SWOD-AJ6RHL,Rosie's Country Cafe,3033 King George Blvd,Surrey,Restaurant,49.0568465,-122.80812679
SHEN-9SZRRW,Rotary Field House,2197 148 St,Surrey,Restaurant,49.04038605,-122.81508576
KSMH-AK7R5Y,Round Table Pizza,12030 80 Ave,Surrey,Restaurant,49.14840143,-122.88916081
SHEN-BCSV32,Royal Canadian Legion Branch #229 (King George Blvd),10767 King George Blvd,Surrey,Restaurant,49.19833815,-122.84599887
JCOE-67H9A4,Royal Canadian Legion Branch #240,2643 128 St,Surrey,Restaurant,49.05053022,-122.867608
A017877    ,Royal Canadian Legion Branch #6 Bar,17567 57 Ave,Surrey,Restaurant,49.10616789,-122.73640309
A016764    ,Royal Canadian Legion Branch #6 Kitchen,17567 57 Ave,Surrey,Restaurant,49.10616789,-122.73640309
SYOG-5M5482,Royal Canadian Legion Branch #8 - Lounge,2290 152 St,Surrey,Restaurant,49.04347012,-122.80094784
HCAR-BCSTPX,Royal Curry Restaurant & Sweets,12588 72 Ave,Surrey,Restaurant,49.13370717,-122.87384296
A018898    ,Royal Oak Pizza and Steak House,15336 Fraser Hwy,Surrey,Restaurant,49.16437477,-122.79765343
SHEN-B9XU28,Royal Paan,8148 128 St,Surrey,Restaurant,49.15057771,-122.86483054
SHEN-A7LSB9,Royal Pacific Restaurant Ltd.,9190 120 St,Surrey,Restaurant,49.17022058,-122.88998595
HCAR-B6GVC8,Royal Punjab Sweets,15299 68 Ave,Surrey,Restaurant,49.12656472,-122.79923406
SPLH-AAAUX2,Royal's Pizza,12837 88 Ave,Surrey,Restaurant,49.16276072,-122.86718741
GEDS-7FATXC,Ruben's Restaurant,15282 Fraser Hwy,Surrey,Restaurant,49.16501585,-122.79908865
GEDS-75PLQX,Rusty's Neighbourhood Pub,17770 56 Ave,Surrey,Restaurant,49.10255448,-122.73039151
SHEN-APFUB3,S & L Kitchen & Bar South Surrey,16051 24 Ave,Surrey,Restaurant,49.04582614,-122.77749261
GEDS-6DSQ6B,Sabai Thai Restaurant,10391 150 St,Surrey,Restaurant,49.19105767,-122.80663219
A020395    ,Sachdeva Sweets & Restaurant,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
HCAR-B6KNWQ,Safari House of Grill,12889 84 Ave,Surrey,Restaurant,49.15556846,-122.86572959
ACAK-9CALHP,Safeway #4900 - Snack Bar & Deli,10355 King George Blvd,Surrey,Restaurant,49.19071922,-122.84579893
ACAK-9CALNC,Safeway #4900 - Starbucks Coffee,10355 King George Blvd,Surrey,Restaurant,49.19071922,-122.84579893
ACAK-9CAMG4,Safeway #4914 - China Kitchen,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
ACAK-9CAME9,Safeway #4914 - Deli,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
ACAK-9CAMF5,Safeway #4914 - Starbucks Coffee,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
ACAK-9CAMPV,Safeway #4920 - Deli,8860 152 St,Surrey,Restaurant,49.16377605,-122.80132528
ACAK-9CAMQN,Safeway #4920 - Starbucks Coffee,8860 152 St,Surrey,Restaurant,49.16377605,-122.80132528
ACAK-9CANVB,Safeway #4939 - Deli,12825 16 Ave,Surrey,Restaurant,49.03148969,-122.86670337
SHEN-B4GLZ6,Sage Dining Services,2656 160 St,Surrey,Restaurant,49.05006748,-122.77859997
PNEL-8R2MJU,Saggi Sweet & Restaurant,7248 132 St,Surrey,Restaurant,49.13451113,-122.85640946
SWOD-AL5UUH,Sahota's Live Grill,7548 120 St,Surrey,Restaurant,49.13980911,-122.89000345
JDSO-ACHLL4,Saini Sweets & Restaurant,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.77953862
SHEN-A7GQWB,Saint Germain Bakery,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
SWOD-AK9QKR,Saison,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
SDFO-8F2KW3,Sakuya Sushi,1593 128 St,Surrey,Restaurant,49.03101667,-122.86778837
HCAR-ATQPHX,Sal y Limon Mexican Cuisine,2428 160 St,Surrey,Restaurant,49.04648581,-122.77880546
HCAR-B6KS2K,Salish Secondary Cafeteria,7278 184 St,Surrey,Restaurant,49.13515591,-122.71204802
SDFO-8KTTGY,Salty's Fish & Chips,17750 56 Ave,Surrey,Restaurant,49.10394114,-122.7304217
SPLH-9KKLS7,Salty's Fish And Chips,15953 Fraser Hwy,Surrey,Restaurant,49.15879416,-122.78014591
NDAA-9CCPX5,Sammy J's Grill & Bar,15770 Croydon Dr,Surrey,Restaurant,49.04654772,-122.78452527
A019048    ,Samz Neighborhood Pub,19580 56 Ave,Surrey,Restaurant,49.10422301,-122.68049445
